Name,Class Level,Subject,Code,Sort Order,Is Active
MOTION AND FORCE,Class 7,PHYSICS,MAF,1,TRUE
HEAT AND TEMPERATURE,Class 7,PHYSICS,HAT,1,TRUE
LIGHT,Class 7,PHYSICS,LIG,1,TRUE
WAVE AND SOUND,Class 7,PHYSICS,WAS,1,TRUE
ELECTRICITY,Class 7,PHYSICS,ELE,1,TRUE
MAGNETISM,Class 7,PHYSICS,MAG,1,TRUE
"ELEMENTS, COMPOUNDS AND MIXTURES",Class 7,CHEMISTRY,ECAM,1,TRUE
MATTER,Class 7,CHEMISTRY,MAT,1,TRUE
PHYSICAL AND CHEMICAL CHANGES,Class 7,CHEMISTRY,PACC,1,TRUE
"ACIDS, BASES AND SALTS",Class 7,CHEMISTRY,ABAS,1,TRUE
HYDROGEN,Class 7,CHEMISTRY,HYD,1,TRUE
COMPONENTS OF AIR,Class 7,CHEMISTRY,COA,1,TRUE
ATMOSPHERIC POLLUTION,Class 7,CHEMISTRY,AP,1,TRUE
WATER,Class 7,CHEMISTRY,WAT,1,TRUE
CHEMISTRY IN EVERYDAY LIFE,Class 7,CHEMISTRY,CIEL,1,TRUE
"INTEGER, FRACTION AND DECIMAL",Class 7,MATHEMATICS,IFAD,1,TRUE
RATIO AND PROPORTIONS,Class 7,MATHEMATICS,RAP,1,TRUE
ALGEBRAIC EXPRESSION AND EXPONENTS,Class 7,MATHEMATICS,AEAE,1,TRUE
SIMPLE EQUATIONS,Class 7,MATHEMATICS,SE,1,TRUE
LINES AND ANGLES,Class 7,MATHEMATICS,LAA,1,TRUE
TRIANGLE AND ITS PROPERTIES,Class 7,MATHEMATICS,TAIP,1,TRUE
IDEA OF SOLID SHAPES,Class 7,MATHEMATICS,IOSS,1,TRUE
STATISTICS,Class 7,MATHEMATICS,STA,1,TRUE
PERIMETER & AREA OF TRIANGLES AND QUADRILATERALS,Class 7,MATHEMATICS,PAOTA,1,TRUE
NUTRITION IN PLANTS AND ANIMALS,Class 7,BIOLOGY,NIPAA,1,TRUE
RESPIRATION IN PLANTS AND ANIMALS,Class 7,BIOLOGY,RIPAA,1,TRUE
"PLANT MORPHYOLOGY, POLLINATION AND GERMINATION",Class 7,BIOLOGY,PMPAG,1,TRUE
FORESTS AND MEDICINAL PLANTS,Class 7,BIOLOGY,FAMP,1,TRUE
POLLUTION AND GLOBAL ENVIRONMENTAL CHANGE,Class 7,BIOLOGY,PAGEC,1,TRUE
WASTE WATER STORY,Class 7,BIOLOGY,WWS,1,TRUE
"FORCE, PRESSURE AND FRICTION",Class 8,PHYSICS,FPAF,1,TRUE
LIGHT,Class 8,PHYSICS,LIG2,1,TRUE
HEAT AND TEMPERATURE,Class 8,PHYSICS,HAT2,1,TRUE
STATIC ELECTRICITY,Class 8,PHYSICS,SE2,1,TRUE
CURRENT ELECTRICITY,Class 8,PHYSICS,CE,1,TRUE
GRAVITATION,Class 8,PHYSICS,GRA,1,TRUE
ATOMIC STRUCTURE,Class 8,CHEMISTRY,AS,1,TRUE
