Name,Chapter,Class Level,Subject,Code,Sort Order,Is Active
MOTION AND FORCE,MOTION AND FORCE,Class 7,PHYSICS,MAF,1,TRUE
HEAT AND TEMPERATURE,HEAT AND TEMPERATURE,Class 7,PHYSICS,HAT,1,TRUE
LIGHT,LIGHT,Class 7,PHYSICS,LIG,1,TRUE
WAVE AND SOUND,WAVE AND SOUND,Class 7,PHYSICS,WAS,1,TRUE
ELECTRICITY,ELECTRICITY,Class 7,PHYSICS,ELE,1,TRUE
MAGNETISM,MAGNETISM,Class 7,PHYSICS,MAG,1,TRUE
"ELEMENTS, COMPOUNDS AND MIXTURES","ELEMENTS, COMPOUNDS AND MIXTURES",Class 7,CHEMISTRY,ECAM,1,TRUE
MATTER,MATTER,Class 7,CHEMISTRY,MAT,1,TRUE
PHYSICAL AND CHEMICAL CHANGES,PHYSICAL AND CHEMICAL CHANGES,Class 7,CHEMISTRY,PACC,1,TRUE
"ACIDS, BASES AND SALTS","ACIDS, BASES AND SALTS",Class 7,CHEMISTRY,ABAS,1,TRUE
HYDROGEN,HYDROGEN,Class 7,CHEMISTRY,HYD,1,TRUE
COMPONENTS OF AIR,COMPONENTS OF AIR,Class 7,CHEMISTRY,COA,1,TRUE
ATMOSPHERIC POLLUTION,ATMOSPHERIC POLLUTION,Class 7,CHEMISTRY,AP,1,TRUE
WATER,WATER,Class 7,CHEMISTRY,WAT,1,TRUE
CHEMISTRY IN EVERYDAY LIFE,CHEMISTRY IN EVERYDAY LIFE,Class 7,CHEMISTRY,CIEL,1,TRUE
"INTEGER, FRACTION AND DECIMAL","INTEGER, FRACTION AND DECIMAL",Class 7,MATHEMATICS,IFAD,1,TRUE
RATIO AND PROPORTIONS,RATIO AND PROPORTIONS,Class 7,MATHEMATICS,RAP,1,TRUE
ALGEBRAIC EXPRESSION AND EXPONENTS,ALGEBRAIC EXPRESSION AND EXPONENTS,Class 7,MATHEMATICS,AEAE,1,TRUE
SIMPLE EQUATIONS,SIMPLE EQUATIONS,Class 7,MATHEMATICS,SE,1,TRUE
LINES AND ANGLES,LINES AND ANGLES,Class 7,MATHEMATICS,LAA,1,TRUE
TRIANGLE AND ITS PROPERTIES,TRIANGLE AND ITS PROPERTIES,Class 7,MATHEMATICS,TAIP,1,TRUE
IDEA OF SOLID SHAPES,IDEA OF SOLID SHAPES,Class 7,MATHEMATICS,IOSS,1,TRUE
STATISTICS,STATISTICS,Class 7,MATHEMATICS,STA,1,TRUE
PERIMETER & AREA OF TRIANGLES AND QUADRILATERALS,PERIMETER & AREA OF TRIANGLES AND QUADRILATERALS,Class 7,MATHEMATICS,PAOTA,1,TRUE
NUTRITION IN PLANTS AND ANIMALS,NUTRITION IN PLANTS AND ANIMALS,Class 7,BIOLOGY,NIPAA,1,TRUE
RESPIRATION IN PLANTS AND ANIMALS,RESPIRATION IN PLANTS AND ANIMALS,Class 7,BIOLOGY,RIPAA,1,TRUE
"PLANT MORPHYOLOGY, POLLINATION AND GERMINATION","PLANT MORPHYOLOGY, POLLINATION AND GERMINATION",Class 7,BIOLOGY,PMPAG,1,TRUE
FORESTS AND MEDICINAL PLANTS,FORESTS AND MEDICINAL PLANTS,Class 7,BIOLOGY,FAMP,1,TRUE
POLLUTION AND GLOBAL ENVIRONMENTAL CHANGE,POLLUTION AND GLOBAL ENVIRONMENTAL CHANGE,Class 7,BIOLOGY,PAGEC,1,TRUE
WASTE WATER STORY,WASTE WATER STORY,Class 7,BIOLOGY,WWS,1,TRUE
"FORCE, PRESSURE AND FRICTION","FORCE, PRESSURE AND FRICTION",Class 8,PHYSICS,FPAF,1,TRUE
LIGHT,LIGHT,Class 8,PHYSICS,LIG2,1,TRUE
HEAT AND TEMPERATURE,HEAT AND TEMPERATURE,Class 8,PHYSICS,HAT2,1,TRUE
STATIC ELECTRICITY,STATIC ELECTRICITY,Class 8,PHYSICS,SE2,1,TRUE
CURRENT ELECTRICITY,CURRENT ELECTRICITY,Class 8,PHYSICS,CE,1,TRUE
GRAVITATION,GRAVITATION,Class 8,PHYSICS,GRA,1,TRUE
ATOMIC STRUCTURE,ATOMIC STRUCTURE,Class 8,CHEMISTRY,AS,1,TRUE
PERIODIC CLASSIFICATION OF ELEMENTS,PERIODIC CLASSIFICATION OF ELEMENTS,Class 8,CHEMISTRY,PCOE,1,TRUE
CHEMICAL BONDING,CHEMICAL BONDING,Class 8,CHEMISTRY,CB,1,TRUE
METALS AND NON-METALS,METALS AND NON-METALS,Class 8,CHEMISTRY,MAN,1,TRUE
ELECTROLYSIS,ELECTROLYSIS,Class 8,CHEMISTRY,ELE2,1,TRUE
CHEMISTRY OF SOME COMMON GASES,CHEMISTRY OF SOME COMMON GASES,Class 8,CHEMISTRY,COSCG,1,TRUE
CHEMICAL REACTIONS,CHEMICAL REACTIONS,Class 8,CHEMISTRY,CR,1,TRUE
"FUEL, COMBUSTION AND FLAME","FUEL, COMBUSTION AND FLAME",Class 8,CHEMISTRY,FCAF,1,TRUE
CARBON AND ITS COMPOUNDS,CARBON AND ITS COMPOUNDS,Class 8,CHEMISTRY,CAIC,1,TRUE
RATIONAL & IRRATIONAL NUMBERS,RATIONAL & IRRATIONAL NUMBERS,Class 8,MATHEMATICS,RIN,1,TRUE
POLYNOMIALS AND FACTORISATION,POLYNOMIALS AND FACTORISATION,Class 8,MATHEMATICS,PAF,1,TRUE
ALGEBRAIC IDENTITIES & THEIR APPLICATIONS,ALGEBRAIC IDENTITIES & THEIR APPLICATIONS,Class 8,MATHEMATICS,AITA,1,TRUE
RATIONAL EXPONENTS AND RADICALS,RATIONAL EXPONENTS AND RADICALS,Class 8,MATHEMATICS,REAR,1,TRUE
BASIC CONCEPT OF GRAPH,BASIC CONCEPT OF GRAPH,Class 8,MATHEMATICS,BCOG,1,TRUE
SIMPLE INTEREST & COMPOUND INTEREST,SIMPLE INTEREST & COMPOUND INTEREST,Class 8,MATHEMATICS,SICI,1,TRUE
GEOMETRY – TRIANGLES AND QUADRILATERALS,GEOMETRY – TRIANGLES AND QUADRILATERALS,Class 8,MATHEMATICS,GTAQ,1,TRUE
STATISTICS,STATISTICS,Class 8,MATHEMATICS,STA2,1,TRUE
"PROFIT, LOSS AND DISCOUNT","PROFIT, LOSS AND DISCOUNT",Class 8,MATHEMATICS,PLAD,1,TRUE
MENSURATION – TRIANGLES & QUADRILATERALS,MENSURATION – TRIANGLES & QUADRILATERALS,Class 8,MATHEMATICS,MTQ,1,TRUE
CELL & MICROSCOPY,CELL & MICROSCOPY,Class 8,BIOLOGY,CM,1,TRUE
MICROORGANISMS: FRIEND OR FOE,MICROORGANISMS: FRIEND OR FOE,Class 8,BIOLOGY,MFOF,1,TRUE
ENDOCRINE SYSTEM & ADOLESCENCE,ENDOCRINE SYSTEM & ADOLESCENCE,Class 8,BIOLOGY,ESA,1,TRUE
POPULATION & HEALTH ORGANISATIONS,POPULATION & HEALTH ORGANISATIONS,Class 8,BIOLOGY,PHO,1,TRUE
NATURAL RESOURCES : CONSERVATION AND MANAGEMENT,NATURAL RESOURCES : CONSERVATION AND MANAGEMENT,Class 8,BIOLOGY,NRCAM,1,TRUE
TRANSPIRATION,TRANSPIRATION,Class 8,BIOLOGY,TRA,1,TRUE
CROP PRODUCTION AND MANAGEMENT,CROP PRODUCTION AND MANAGEMENT,Class 8,BIOLOGY,CPAM,1,TRUE
MOTION,MOTION,Class 9,PHYSICS,MOT,1,TRUE
NEWTON’S LAWS OF MOTION,NEWTON’S LAWS OF MOTION,Class 9,PHYSICS,NLOM,1,TRUE
"WORK, POWER AND ENERGY","WORK, POWER AND ENERGY",Class 9,PHYSICS,WPAE,1,TRUE
SOUND,SOUND,Class 9,PHYSICS,SOU,1,TRUE
GRAVITATION,GRAVITATION,Class 9,PHYSICS,GRA2,1,TRUE
STRUCTURE OF ATOM,STRUCTURE OF ATOM,Class 9,CHEMISTRY,SOA,1,TRUE
MOLE CONCEPT,MOLE CONCEPT,Class 9,CHEMISTRY,MC,1,TRUE
SOLUTION,SOLUTION,Class 9,CHEMISTRY,SOL,1,TRUE
STUDY OF GAS LAWS,STUDY OF GAS LAWS,Class 9,CHEMISTRY,SOGL,1,TRUE
MINERAL ACIDS,MINERAL ACIDS,Class 9,CHEMISTRY,MA,1,TRUE
ANALYTICAL CHEMISTRY,ANALYTICAL CHEMISTRY,Class 9,CHEMISTRY,AC,1,TRUE
WATER,WATER,Class 9,CHEMISTRY,WAT2,1,TRUE
ELECTROLYSIS,ELECTROLYSIS,Class 9,CHEMISTRY,ELE3,1,TRUE
SIMULTANEOUS LINEAR EQUATIONS IN TWO VARIABLES,SIMULTANEOUS LINEAR EQUATIONS IN TWO VARIABLES,Class 9,MATHEMATICS,SLEIT,1,TRUE
"INDICES, SURDS AND LOGARITHM","INDICES, SURDS AND LOGARITHM",Class 9,MATHEMATICS,ISAL,1,TRUE
